10,14649.590951906,14649.690415612
13,14649.905079711,14650.015057341
17,14650.327460265,14650.431381966
22,14650.851103688,14650.949993864
25,14651.165974122,14651.275414574
30,14651.714581389,14651.820775577
34,14652.153514001,14652.262515343
38,14652.608272213,14652.723969822
42,14653.069277669,14653.188385812
46,14653.602383055,14653.71576164
50,14654.106144195,14654.241188085
55,14654.731604541,14654.843776654
59,14655.215380194,14655.321749329
63,14655.684517307,14655.796411246
67,14656.147749765,14656.255468117
71,14656.612707786,14656.721419911
75,14657.113849062,14657.219652447
79,14657.568591496,14657.668928405
83,14658.03815495,14658.143121948
88,14658.625730684,14658.732432062
92,14659.075206604,14659.177438062
96,14659.572186451,14659.676079142
10,14813.570740941,14813.626770457
13,14813.915954078,14814.014033948
17,14814.366784493,14814.469729929
22,14814.900319347,14814.996154441
25,14815.20975524,14815.320546402
30,14815.758323176,14815.860661877
34,14816.194317953,14816.30576306
38,14816.63733015,14816.74204582
42,14817.080633333,14817.187561192
46,14817.555864117,14817.664210755
50,14818.035063975,14818.142825675
55,14818.635477984,14818.74350021
59,14819.113634824,14819.220313292
63,14819.590606518,14819.698400648
67,14820.078294286,14820.18370272
71,14820.528175659,14820.629626552
75,14821.025760689,14821.128012066
79,14821.49253291,14821.594442471
83,14821.959298081,14822.061405009
88,14822.560530641,14822.670779994
92,14823.022975548,14823.131101007
96,14823.508285307,14823.604517068
10,15190.681340654,15190.781497562
13,15190.999552033,15191.107654686
17,15191.422740669,15191.530144962
22,15191.951383163,15192.058916585
25,15192.264198852,15192.369170099
30,15192.790973677,15192.900529432
34,15193.229387416,15193.338549047
38,15193.669077351,15193.778696569
42,15194.116253417,15194.229208256
46,15194.58230975,15194.690247679
50,15195.065597992,15195.18019167
55,15195.673684966,15195.781949595
59,15196.154326184,15196.257121603
63,15196.636355561,15196.750027244
67,15197.098343365,15197.205077753
71,15197.571448436,15197.67726146
75,15198.057512179,15198.178282987
79,15198.568940605,15198.673386121
83,15199.0464938,15199.158389376
88,15199.636568116,15199.737553203
92,15200.121662241,15200.223834589
None,15200.319934774,15200.427972475
None,15200.428411129,15200.537265107
None,15200.542382096,15200.65953024
None,15200.738426369,15200.859348788
None,15200.859826676,15200.974711149
None,15200.979142184,15201.092341568
None,15201.092789242,15201.197963219
None,15201.202249673,15201.299531112
None,15201.299953883,15201.402460094
10,15302.543332266,15302.642344581
13,15302.862953795,15302.971024737
17,15303.287714943,15303.391999538
22,15303.813007527,15303.918020742
25,15304.133354131,15304.240763272
30,15304.667406283,15304.779251694
34,15305.11182763,15305.224010508
38,15305.552313935,15305.664996821
42,15306.009396638,15306.117194966
46,15306.483308255,15306.589766936
50,15306.971054657,15307.082765979
55,15307.605823654,15307.715738468
59,15308.063696103,15308.176121887
63,15308.547898658,15308.657619665
67,15309.020982832,15309.126027783
71,15309.486257398,15309.588734731
75,15309.977945515,15310.081633894
79,15310.43693709,15310.540541712
83,15310.922041834,15311.032037711
88,15311.520938358,15311.628010104
92,15311.985867229,15312.081526263
96,15312.448614316,15312.555290923
10,15619.484397191,15619.582166776
13,15619.797417961,15619.905576923
17,15620.230153981,15620.323658492
22,15620.747444193,15620.857772459
25,15621.07604179,15621.180330689
30,15621.628440406,15621.738120828
34,15622.105659742,15622.207376357
38,15622.560913345,15622.665986364
42,15623.033769474,15623.142148491
46,15623.524787787,15623.635595802
50,15623.988275372,15624.098594434
55,15624.59258667,15624.70127547
59,15625.063849252,15625.171877977
63,15625.537207878,15625.643008372
67,15626.009634076,15626.115853573
71,15626.480450842,15626.587256205
75,15626.962286856,15627.072016656
79,15627.413593993,15627.513514813
83,15627.892604909,15628.005831041
88,15628.467308778,15628.567048583
92,15628.926659838,15629.026656853
96,15629.407676629,15629.512868981
10,15799.208342575,15799.307868275
13,15799.518853162,15799.626547363
17,15799.946987425,15800.046647452
22,15800.468010792,15800.571842811
25,15800.797668728,15800.905379221
30,15801.372583315,15801.473441998
34,15801.844914623,15801.950600575
38,15802.307482027,15802.406868198
42,15802.77826965,15802.890109317
46,15803.234285063,15803.34313321
50,15803.709733855,15803.823531299
55,15804.300995178,15804.41117096
59,15804.778387678,15804.882718557
63,15805.243981402,15805.350390251
67,15805.712064031,15805.811053511
71,15806.174613037,15806.274782755
75,15806.652824385,15806.76585909
79,15807.130228556,15807.240158963
83,15807.591349933,15807.69145074
88,15808.165618118,15808.264477752
92,15808.622803565,15808.722849451
96,15809.089602841,15809.187526094
10,16010.874661917,16010.970983885
13,16011.192619412,16011.296502558
17,16011.612142172,16011.717555741
22,16012.172490892,16012.274809278
25,16012.525301255,16012.631561072
30,16013.09039036,16013.195635957
None,16013.274620489,16013.381092585
83,16014.735274639,16014.843259573
88,16015.300098035,16015.406999364
92,16015.756596487,16015.857210386
10,16023.199409195,16023.293574265
13,16023.512580281,16023.615061921
17,16023.943748415,16024.046661616
22,16024.510073766,16024.610665601
25,16024.858992882,16024.963635766
30,16025.420189532,16025.524429151
34,16025.886997478,16025.996779153
38,16026.344056255,16026.448282665
42,16026.829104532,16026.93407045
46,16027.285256932,16027.393884429
50,16027.761268252,16027.87196054
55,16028.372307254,16028.481632139
59,16028.838282449,16028.946963085
63,16029.299314779,16029.405314415
67,16029.769796828,16029.876308288
71,16030.24340878,16030.347722301
75,16030.717049053,16030.822846861
79,16031.186884935,16031.29639895
83,16031.647684599,16031.751741777
88,16032.230827504,16032.333218065
92,16032.687880881,16032.794164588
96,16033.162807941,16033.265998764
10,16170.442684194,16170.536124358
13,16170.757343187,16170.869677879
17,16171.188307255,16171.288711417
22,16171.755315911,16171.856510888
25,16172.097208359,16172.197878018
30,16172.675943992,16172.780348732
34,16173.14466693,16173.251405463
38,16173.603516771,16173.708911283
42,16174.061203795,16174.171359562
46,16174.528657295,16174.634183913
50,16174.998462281,16175.106777932
55,16175.605341722,16175.716605061
59,16176.060466444,16176.170477455
63,16176.529686486,16176.634906066
None,16176.727516679,16176.837298915
None,16176.83776329,16176.953597646
None,16176.954056533,16177.068074355
34,16177.100998903,16177.210288346
67,16177.668865826,16177.774969966
34,16177.811467138,16177.923156549
38,16178.254127819,16178.360687067
42,16178.724484413,16178.832579427
None,16178.925303921,16179.039279761
None,16179.039721279,16179.15147324
None,16179.156035465,16179.266071659
None,16179.329614926,16179.440681545
None,16179.458304971,16179.571542044
None,16179.583395891,16179.695280971
46,16179.815106827,16179.929710726
55,16179.95242815,16180.068883927
46,16180.549594022,16180.664355855
55,16180.679263085,16180.793758817
46,16181.294119291,16181.410818897
10,16212.915926535,16213.011406624
13,16213.220322974,16213.336377143
17,16213.66141812,16213.763217914
22,16214.234297265,16214.334943977
25,16214.580549638,16214.685007064
30,16215.147765368,16215.248916955
34,16215.618254048,16215.722524846
38,16216.092703692,16216.194984019
42,16216.560961912,16216.674504577
46,16217.034409296,16217.138566132
50,16217.520369037,16217.634637225
55,16218.131303081,16218.239389335
59,16218.604033153,16218.712980376
63,16219.079399048,16219.186866743
67,16219.554296217,16219.658009528
None,16219.757340374,16219.867370727
None,16219.867843892,16219.982531554
71,16219.982977462,16220.094576182
30,16220.144147217,16220.255120384
71,16220.702206311,16220.814168506
75,16221.18629134,16221.299069038
79,16221.658351613,16221.767652545
83,16222.146298427,16222.251414624
88,16222.736299383,16222.839611786
92,16223.209163243,16223.315690572
96,16223.674306455,16223.778244299
10,16232.486936236,16232.587259725
13,16232.796936426,16232.909750797
17,16233.249751843,16233.358145009
22,16233.835400972,16233.937124197
25,16234.17391554,16234.278563564
30,16234.755501185,16234.86659253
34,16235.218592105,16235.329176862
38,16235.693240864,16235.796701261
42,16236.203308419,16236.312499676
46,16236.670121654,16236.780530523
50,16237.181779562,16237.293921593
55,16237.808265295,16237.91811386
59,16238.29587426,16238.404741627
63,16238.77744056,16238.889953864
67,16239.262950488,16239.372599277
None,16239.457279952,16239.571053384
None,16239.571474471,16239.683192325
None,16239.698451817,16239.812977813
None,16239.849972088,16239.96483632
None,16239.965349774,16240.085143002
None,16240.085621644,16240.203298194
None,16240.219069182,16240.331820325
None,16240.332239159,16240.44815453
None,16240.448632339,16240.560046676
None,16240.6275209,16240.743607951
None,16240.744088216,16240.86579923
30,16241.952753433,16242.054422099
71,16242.507371398,16242.618730326
30,16242.650595619,16242.762281785
34,16243.106374105,16243.215911876
38,16243.584187077,16243.704104794
42,16244.07952456,16244.18987949
46,16244.573301071,16244.691900805
10,16347.79114596,16347.882751539
13,16348.099386686,16348.205741246
17,16348.529617529,16348.628524616
22,16349.10229503,16349.20494893
25,16349.441458011,16349.54960713
30,16350.031750612,16350.135577642
34,16350.487217294,16350.592369488
38,16350.957563071,16351.065591624
42,16351.434555618,16351.543552441
46,16351.894120445,16352.006868306
50,16352.368767037,16352.48037714
55,16352.965699749,16353.072376882
59,16353.438604184,16353.551331346
63,16353.900350888,16354.011149353
67,16354.367141761,16354.471519237
71,16354.835719244,16354.941432191
75,16355.307295002,16355.41063202
79,16355.765299006,16355.871137941
83,16356.237745658,16356.340598687
88,16356.824729429,16356.918654096
92,16357.292174863,16357.399020601
96,16357.751452997,16357.853666397
10,16529.891807863,16530.002853247
13,16530.237419387,16530.382179928
17,16530.723888134,16530.822864897
22,16531.329763533,16531.440336267
